empresa,setor,pais_sede
SK Hynix,NA,South Korea
Southern Company,NA,United States
State Bank of India,NA,India
Stellantis NV,NA,Netherlands
Strawberry,NA,Norway
Sumitomo Mitsui Financial,NA,Japan
Sun Life Financial,NA,Canada
Suncor Energy,NA,Canada
Svedbergs Group,NA,Sweden
Swedish Orphan Biovitrum,NA,Sweden
Sydbank,NA,Denmark
Taiwan Semiconductor,NA,Taiwan
TD Bank Group,NA,Canada
TechnipFMC,NA,United Kingdom
Tobii,NA,Sweden
Tobii Dynavox,NA,Sweden
TotalEnergies SE,NA,France
Traton,NA,Germany
Travelers,NA,United States
Truist Financial,NA,United States
Tryg,NA,Denmark
TUIfly Nordic AB,NA,Sweden
UBS,NA,Switzerland
UniCredit,NA,Italy
Uniper SE,NA,Germany
United Parcel Service,NA,United States
Valero Energy,NA,United States
Veidekke Entreprenad,NA,Norway
Verizon Communications,NA,United States
Vimian Group,NA,Sweden
Vitec Software Group,NA,Sweden
Vitol,NA,Switzerland
VNV Global,NA,Sweden
Volati,NA,Sweden
Wells Fargo,NA,United States
Westpac Banking Group,NA,Australia
World Courier Sweden AB,NA,Sweden
Wärtsilä Oyj,NA,Finland
Xano Industri,NA,Sweden
Zealand Pharma A/S,NA,Denmark
