"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04","2025-M05","2025-M06","2025-M07","2025-M08","2025-M09"
"IMF.STA:ER(4.0.1)","IMN.USD_XDC.EOP_RT.M","OBS_VALUE","Isle of Man","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","1.25455","1.24105","1.25955","1.29395","1.3357","1.3472","1.37025","1.32275","1.34625","1.34375"
"IMF.STA:ER(4.0.1)","GBR.USD_XDC.EOP_RT.M","OBS_VALUE","United Kingdom","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","1.25455","1.24105","1.25955","1.29395","1.3357","1.3472","1.37025","1.32275","1.34625","1.34375"
"IMF.STA:ER(4.0.1)","NZL.USD_XDC.EOP_RT.M","OBS_VALUE","New Zealand","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.5640157924421884","0.5628095452498874","0.5624929688378895","0.571004396733855","0.5930142916444286","0.5965875193890944","0.6067961165048544","0.59070234508831","0.5891016200294551","0.5782499999999999"
"IMF.STA:ER(4.0.1)","KWT.USD_XDC.EOP_RT.M","OBS_VALUE","Kuwait","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","3.24728040266277","3.2441200324412","3.24254215304799","3.24254215304799","3.26477309826967","3.257328990228013","3.275466754012447","3.269042170644001","3.274930407728836","3.278688524590164"
"IMF.STA:ER(4.0.1)","MEX.USD_XDC.EOP_RT.M","OBS_VALUE","Mexico","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.04933812899947208","0.04861992347224045","0.04895313716179501","0.04921695819511571","0.05109261558426961","0.05154639175257732","0.05293021680216802","0.05329297278860809","0.05350111282314672","0.05439956480348157"
"IMF.STA:ER(4.0.1)","FJI.USD_XDC.EOP_RT.M","OBS_VALUE","Fiji, Republic of","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.4258943781942078","0.4266939750810719","0.4266939750810719","0.4297009281540048","0.4366049598323437","0.4374070510016621","0.4415011037527594","0.4360908813396712","0.4385003288752467",""
"IMF.STA:ER(4.0.1)","THA.USD_XDC.EOP_RT.M","OBS_VALUE","Thailand","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.02942223556030234","0.02972227506182233","0.02934074284892745","0.02947548376637732","0.02992990416444687","0.03068491805592633","0.03071592682237594","0.03057898245377987","0.0309489249890905","0.03093293739173472"
"IMF.STA:ER(4.0.1)","POL.USD_XDC.EOP_RT.M","OBS_VALUE","Poland, Republic of","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.2438310738320492","0.2464511041009464","0.2500437576575901","0.2587790802991486","0.2658372544328362","0.2664038149026294","0.2765180842827121","0.2684059371393295","0.2735304576164556","0.2753683051080821"
"IMF.STA:ER(4.0.1)","IRQ.USD_XDC.EOP_RT.M","OBS_VALUE","Iraq","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","7.692307692307692E-4","7.692307692307692E-4","7.692307692307692E-4","7.692307692307692E-4","7.692307692307692E-4","7.692307692307692E-4","7.692307692307692E-4","7.692307692307692E-4","",""
"IMF.STA:ER(4.0.1)","RUS.USD_XDC.EOP_RT.M","OBS_VALUE","Russian Federation","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.00983477576711251","0.01020304050607081","0.01140250855188141","0.01195028680688337","0.01226091221186856","0.01271940981938438","0.01274372371606984","0.01222045704509349","0.01244864932154861","0.01206709303728732"
